date,value
2020-03-15,-19.312518051946764
2020-03-16,-16.870666979505188
2020-03-17,-15.35455500233968
2020-03-18,-15.941979210767757
2020-03-19,-15.949272810677227
2020-03-20,-13.215551989945261
2020-03-21,-9.594547635485018
2020-03-22,-8.070931707701623
2020-03-23,-6.874857018305557
2020-03-24,-6.212392324572282
2020-03-25,-7.589618412764989
2020-03-26,-9.745987374798947
2020-03-27,-11.116676795394703
2020-03-28,-13.067585559357076
2020-03-29,-15.793978930204172
2020-03-30,-17.809503369322876
2020-03-31,-19.653654645475825
2020-04-01,-21.57494170525895
2020-04-02,-23.33206053569992
2020-04-03,-26.290698160942473
2020-04-04,-29.931977940249308
2020-04-05,-32.2794926674348
2020-04-06,-33.76198809621131
2020-04-07,-35.35587315893108
2020-04-08,-38.432126134095505
2020-04-09,-43.061822836327664
2020-04-10,-47.77517332024566
2020-04-11,-52.77566396779275
2020-04-12,-57.12851551308069
2020-04-13,-59.69430222866689
2020-04-14,-60.76428440207441
2020-04-15,-61.04687512250813
2020-04-16,-60.81633149814142
2020-04-17,-61.98408245582287
2020-04-18,-65.96042127103506
2020-04-19,-69.36429243705153
2020-04-20,-69.40847076222629
2020-04-21,-68.12926395060303
2020-04-22,-67.93292699758953
2020-04-23,-68.36137674171167
2020-04-24,-69.52903593208751
2020-04-25,-70.5469873964198
2020-04-26,-69.80775919880742
2020-04-27,-68.29813400478429
2020-04-28,-67.55550608580786
2020-04-29,-67.98156653180091
2020-04-30,-68.17650637672092
2020-05-01,-68.03483656702537
2020-05-02,-68.89015172785146
2020-05-03,-70.01382370163657
2020-05-04,-70.50920029678406
2020-05-05,-69.69983684938451
2020-05-06,-67.65573596446482
2020-05-07,-65.48142166790808
2020-05-08,-63.26964343449452
2020-05-09,-61.0201686647334
2020-05-10,-59.35662960009401
2020-05-11,-59.099509434751816
2020-05-12,-59.49640257574412
2020-05-13,-60.31259272582792
2020-05-14,-63.12442652784895
2020-05-15,-65.72819227308335
2020-05-16,-66.64161355667582
2020-05-17,-66.34611234855188
2020-05-18,-65.17245411087568
2020-05-19,-65.1620522906436
2020-05-20,-67.4021400100325
2020-05-21,-69.99486421343002
2020-05-22,-72.13819911761304
2020-05-23,-74.05187036919479
2020-05-24,-74.7432555333709
2020-05-25,-74.00249183937359
2020-05-26,-72.2499580716747
2020-05-27,-70.22272501698781
2020-05-28,-68.38828681041481
2020-05-29,-65.9943539165469
2020-05-30,-62.13522086828423
2020-05-31,-56.893813857440634
2020-06-01,-52.51763561822732
2020-06-02,-49.60416216608811
2020-06-03,-47.64147719227658
2020-06-04,-46.762810037200374
2020-06-05,-46.74244748606113
2020-06-06,-47.11892625390735
2020-06-07,-48.67028834775923
2020-06-08,-51.4207164741202
2020-06-09,-53.88960672919167
2020-06-10,-55.72372735710776
2020-06-11,-57.35341150162196
2020-06-12,-58.32333752439146
2020-06-13,-59.30229601802641
2020-06-14,-58.78952638081786
2020-06-15,-58.664482882705755
2020-06-16,-60.05074249908878
2020-06-17,-60.43916349609814
2020-06-18,-61.11875532511641
2020-06-19,-63.70812318004342
2020-06-20,-65.53323952051024
2020-06-21,-65.22541826132858
2020-06-22,-64.75839532585748
2020-06-23,-65.60296040103947
2020-06-24,-68.08217019038919
2020-06-25,-68.74804361831863
2020-06-26,-67.00349144902064
2020-06-27,-66.53219607897367
2020-06-28,-68.19151244725359
2020-06-29,-68.18361623927517
2020-06-30,-67.23718252818539
2020-07-01,-68.05337635241195
2020-07-02,-68.47831929692376
2020-07-03,-68.26227006216561
2020-07-04,-67.24837567097683
2020-07-05,-66.83944945123078
2020-07-06,-67.71765854706449
2020-07-07,-69.85086986907626
2020-07-08,-71.82821961560158
2020-07-09,-73.02433089890953
2020-07-10,-72.28947898725032
2020-07-11,-70.10677861285303
2020-07-12,-68.88789926507556
2020-07-13,-67.74355987821711
2020-07-14,-68.37454072924369
2020-07-15,-71.38637431020723
2020-07-16,-74.74745745901087
2020-07-17,-77.36232812911817
2020-07-18,-78.85342860591687
