school_id,school_name
US00898,College Of Business Oregon State University Corvallis
US00902,College Of Business University Of Michigan Dearborn Dearborn
US00918,College Of Business University Of Texas At Arlington Arlington
US00158,College Of Charleston Charleston
US00312,College Of Dupage Glen Ellyn
US00871,College Of Engineering Carnegie Mellon University Pittsburgh
US00872,College Of Fine Arts Carnegie Mellon University Pittsburgh
US00865,College Of Holy Cross Worcester
US00760,College Of Staten Island Staten Island
US00847,College Of William Mary Williamsburg
US00199,Colorado College Colorado Springs
US00316,Colorado Mesa University Grand Junction
US00314,Colorado School Of Mines Golden
US00283,Colorado State University Fort Collins
US00641,Colorado State University Pueblo
US00198,Colorado Technical University Colorado Springs
US00176,Columbia College Chicago Chicago
US00203,Columbia International University Columbia
US00544,Columbia University New York City
US00206,Columbus State University Columbus
US00043,Concord University Athens
US00514,Concordia College Moorhead
US00925,Concordia University Chicago River Forest
US00378,Concordia University Irvine
US00683,Concordia University Saint Paul Saint Paul
US00488,Concordia University Wisconsin Mequon
US00537,Connecticut College New London
US00522,Cornell College Mount Vernon
US00929,Cornell Tech Ithaca
US00380,Cornell University Ithaca
US00892,Cox School Of Business Dallas
US00586,Creighton University Omaha
US00466,Dakota State University Madison
US00219,Dallas Baptist University Dallas
US00909,Darla Moore School Of Business Columbia
US00337,Dartmouth College Hanover
US00318,Davenport University Grand Rapids
US00293,Dean College Franklin County
US00242,Delaware State University Dover
US00192,Delta State University Cleveland
US00319,Denison University Granville
US00174,Depaul University Chicago
US00324,Depauw University Greencastle
US00454,Devry University California Long Beach
US00243,Devry University Naperville
US00147,Dickinson College Carlisle
US00651,Digipen Institute Of Technology Redmond
US00678,Dixie State University Saint George
US00660,Dominican University San Rafael
US00238,Drake University Des Moines
US00465,Drew University Madison
US00608,Drexel University Philadelphia
US00751,Drury University Springfield
US00245,Duke University Durham
US00614,Duquesne University Pittsburgh
US00131,Dyouville College Buffalo
US00658,Earlham College Richmond
US00329,East Carolina University Greenville
US00249,East Stroudsburg University East Stroudsburg
US00390,East Tennessee State University Johnson City
US00157,Eastern Illinois University Charleston
US00655,Eastern Kentucky University Richmond
US00868,Eastern Michigan University Ypsilanti
US00644,Eastern Nazarene College Quincy
US00622,Eastern New Mexico University Portales
US00411,Eastern Oregon University La Grande
US00753,Eastern University St Davids
US00164,Eastern Washington University Cheney
US00815,Ecpi University Richmond
US00252,Edinboro University Edinboro
US00256,Elizabethtown College Elizabethtown
US00258,Elmhurst College Elmhurst
US00259,Elmira College Elmira
US00226,Embry Riddle Aeronautical University Daytona Beach
US00101,Emerson College Boston
US00294,Emmanuel College Boston Boston
US00046,Emory University Atlanta
US00260,Emporia State University Emporia
US00081,Endicott College Beverly
US00271,Fairfield University Fairfield
US00467,Fairleigh Dickinson University Madison
US00781,Fairleigh Dickinson University Teaneck
US00473,Fashion Institute Of Technology New York City
US00082,Ferris State University Big Rapids
US00104,Fisher College Boston
US00530,Fisk University Nashville
US00277,Fitchburg State University Fitchburg
US00778,Florida Agricultural Mechanical University Tallahassee
US00092,Florida Atlantic University Boca Raton
US00285,Florida Gulf Coast University Fort Myers
US00483,Florida Institute Of Technology Melbourne
US00490,Florida International University Miami
US00350,Florida National University Hialeah
US00418,Florida Polytechnic University Lakeland
US00777,Florida State University Tallahassee
US00896,Foisie Business School Worcester
US00117,Fordham University Bronx
US00346,Fort Hays State University Hays
US00906,Fox School Of Business And Management Philadelphia
US00291,Framingham State University Framingham
US00282,Francis Marion University Florence
US00208,Franklin University Columbus
US00299,Fresno Pacific University Fresno
US00300,Frostburg State University Frostburg
US00857,Full Sail University Winter Park
US00327,Furman University Greenville
US00825,Gallaudet University Washington
US00261,Gannon University Erie
US00897,Gatton College Of Business And Economics Lexington
US00269,George Mason University Fairfax
US00820,George Washington University Washington
US00821,Georgetown University Washington
US00045,Georgia Institute Of Technology Atlanta
US00720,Georgia Southern University Savannah
US00762,Georgia Southern University Statesboro
US00047,Georgia State University Atlanta
US00310,Gettysburg College Gettysburg
US00882,Goizueta Business School Atlanta
US00922,Golden Gate University San Francisco
US00851,Goldey Beacom College Wilmington
US00744,Gonzaga University Spokane
US00933,Governors State University Chicago
US00609,Grand Canyon University Phoenix
US00016,Grand Valley State University Allendale
US00330,Grinnell College Grinnell
US00876,Haas School Of Business Berkeley
US00195,Hamilton College Clinton
US00686,Hamline University Saint Paul
US00023,Hampshire College Amherst
US00336,Hampton University Hampton
US00338,Hanover College Hanover
US00725,Harding University Searcy
US00873,Harvard Extension School Cambridge
US00874,Harvard Kennedy School Cambridge
US00142,Harvard University Cambridge
US00184,Harvey Mudd College Claremont
US00342,Hastings College Hastings
US00914,Haub School Of Business Philadelphia
US00344,Haverford College Haverford
US00356,Hawaii Pacific University Honolulu
US00788,Heidelberg University Tiffin
US00035,Henderson State University Arkadelphia
US00931,Herzing University Milwaukee
US00351,High Point University High Point
US00348,Hofstra University Hempstead
US00579,Holy Names University Oakland
US00295,Hood College Frederick
US00354,Hope College Holland
US00903,Hough Graduate School Of Business Gainesville
US00364,Houston Baptist University Houston
US00823,Howard University Washington
US00141,Hult International Business School Cambridge
US00034,Humboldt State University Arcata
US00550,Hunter College New York City
US00065,Husson University Bangor
US00620,Idaho State University Pocatello
US00812,Iglobal University Vienna
US00387,Illinois College Jacksonville
US00661,Illinois Dominican University River Forest
US00170,Illinois Institute Of Technology Chicago
US00569,Illinois State University Normal
US00089,Illinois Wesleyan University Bloomington
US00288,Indiana Tech Fort Wayne
US00088,Indiana University Bloomington
US00408,Indiana University Kokomo Kokomo
US00307,Indiana University Northwest Gary
US00370,Indiana University Of Pennsylvania Indiana
US00286,Indiana University Purdue University Fort Wayne Fort Wayne
US00371,Indiana University Purdue University Indianapolis Indianapolis
US00738,Indiana University South Bend South Bend
US00543,Iona College New Rochelle
US00020,Iowa State University Ames
US00381,Ithaca College Ithaca
US00382,Jackson State University Jackson
US00386,Jacksonville State University Jacksonville
US00384,Jacksonville University Jacksonville
US00339,James Madison University Harrisonburg
US00735,John Brown University Siloam Springs
US00804,John Carroll University University Heights
US00060,Johns Hopkins University Baltimore
US00639,Johnson Wales University Providence
US00366,Juniata College Huntingdon
US00394,Kalamazoo College Kalamazoo
US00472,Kansas State University Manhattan
US00802,Kean University Union
US00400,Kennesaw State University Kennesaw
US00402,Kent State University Kent
US00572,Kent State University Stark North Canton
US00292,Kentucky State University Frankfort
US00280,Kettering University Flint
US00303,Knox College Galesburg
US00822,Kogod School Of Business Washington
US00889,Krannert School Of Management West Lafayette
US00409,Kutztown University Kutztown
US00616,La Roche University Pittsburgh
US00607,La Salle University Philadelphia
US00664,La Sierra University Riverside
US00250,Lafayette College Easton
US00719,Lake Superior State University Sault Ste Marie
US00067,Lamar University Beaumont
US00566,Lasell University Newton
US00741,Lawrence Technological University Southfield
US00033,Lawrence University Appleton
US00032,Lebanon Valley College Annville
US00193,Lee University Cleveland
US00079,Lehigh University Bethlehem
US00556,Lehman College Bronx
US00143,Lesley University Cambridge
US00444,Letourneau University Longview
US00626,Lewis And Clark College Portland
US00432,Lewis Clark State College Lewiston
US00673,Lewis University Romeoville
US00461,Liberty University Lynchburg
US00549,Lim College New York City
US00340,Lincoln Memorial University Harrogate
US00580,Lincoln University Philadelphia
US00677,Lindenwood University Saint Charles
US00479,Linfield College Mcminnville
US00531,Lipscomb University Nashville
US00441,Loma Linda University Loma Linda
US00123,Long Island University Brooklyn
US00124,Long Island University Post Greenvale
US00274,Longwood University Farmville
US00066,Louisiana State University Baton Rouge
US00734,Louisiana State University Shreveport Shreveport
US00675,Louisiana Tech University Ruston
US00449,Loyola Marymount University Los Angeles
US00167,Loyola University Chicago
US00062,Loyola University Maryland Baltimore
US00538,Loyola University New Orleans
US00093,Lynn University Boca Raton
US00439,Madonna University Livonia
US00272,Maharishi University Of Management Fairfield
US00574,Manchester University North Manchester
US00662,Manhattan College Riverdale
US00631,Marist College Poughkeepsie
US00497,Marquette University Milwaukee
US00883,Marshall Business School Los Angeles
US00367,Marshall University Huntington
US00647,Marymount California University Rancho Palos Verdes
US00037,Marymount University Arlington
US00755,Maryville University St Louis
US00724,Marywood University Scranton
US00916,Masagung Graduate School Of Management San Francisco
US00140,Massachusetts Institute Of Technology Cambridge
US00109,Massachusetts Maritime Academy Buzzards Bay
US00893,Mays Business School College Station
US00881,Mccombs School Of Business Austin
US00417,Mcneese State University Lake Charles
US00463,Mercer University Macon
US00262,Mercyhurst University Erie
US00481,Messiah University Mechanicsburg
US00236,Metropolitan State University Denver
US00685,Metropolitan State University Saint Paul
US00920,Miami Business School Coral Gables
US00492,Miami Dade College Miami
US00494,Miami University Oxford
US00248,Michigan State University East Lansing
US00357,Michigan Technological University Houghton
US00524,Middle Tennessee State University Murfreesboro
US00496,Midway University Midway
US00845,Midwestern State University Wichita Falls
US00241,Millennia Atlantic University Doral
US00578,Mills College Oakland
US00383,Millsaps College Jackson
US00499,Milwaukee School Of Engineering Milwaukee
US00932,Minerva University San Francisco
US00474,Minnesota State University Mankato Mankato
US00513,Minnesota State University Moorhead Moorhead
US00502,Minot State University Minot
US00194,Mississippi College Clinton
US00504,Mississippi State University Mississippi State
US00745,Missouri State University Springfield
US00672,Missouri University Of Science And Technology Rolla
US00679,Missouri Western State University Saint Joseph
US00875,Mit Sloan School Of Management Cambridge
US00839,Monmouth University West Long Branch
US00118,Monroe College Bronx
US00083,Montana State University Billings
US00509,Montana State University Bozeman
US00321,Montana State University Great Falls
US00345,Montana State University Northern Havre
US00137,Montana Tech Butte
US00510,Montclair State University Montclair
US00080,Moravian College Bethlehem
US00515,Morehead State University Morehead
US00049,Morehouse College Atlanta
US00063,Morgan State University Baltimore
US00739,Mount Holyoke College South Hadley
US00017,Muhlenberg College Allentown
US00912,Muma College Of Business University Of South Florida Tampa
US00525,Murray State University Murray
US00535,Muskingum University New Concord
US00649,National American University Rapid City
US00412,National University La Jolla
US00913,Neeley School Of Business Fort Worth
US00349,New England College Henniker
US00247,New England Institute Of Technology Warwick
US00563,New Jersey Institute Of Technology Newark
US00423,New Mexico Highlands University Las Vegas
US00422,New Mexico State University Las Cruces
US00122,New York City College Of Technology Brooklyn
US00585,New York Institute Of Technology New York City
US00545,New York University New York City
US00927,New York University Tandon School Of Engineering Brooklyn
US00705,Newschool Of Architecture And Design San Diego
US00928,Nexford University Washington
US00130,Niagara University Niagara University
US00786,Nicholls State University Thibodaux
US00568,Norfolk State University Norfolk
US00758,North American University Stafford
US00246,North Carolina Central University Durham
US00646,North Carolina State University Raleigh
US00273,North Dakota State University Fargo
US00178,North Park University Chicago
US00175,Northeastern Illinois University Chicago
US00776,Northeastern State University Tahlequah
US00097,Northeastern University Boston
US00278,Northern Arizona University Flagstaff
US00229,Northern Illinois University Dekalb
US00352,Northern Kentucky University Highland Heights
US00475,Northern Michigan University Marquette
US00003,Northern State University Aberdeen
US00478,Northwest Missouri State University Maryville
US00405,Northwest University Kirkland
US00264,Northwestern University Evanston
US00284,Nova Southeastern University Fort Lauderdale
US00668,Oakland University Rochester
US00561,Oglethorpe University Atlanta
US00207,Ohio Dominican University Columbus
US00005,Ohio Northern University Ada
US00204,Ohio State University Columbus
US00041,Ohio University Athens
US00231,Ohio Wesleyan University Delaware
US00254,Oklahoma Christian University Edmond
US00584,Oklahoma City University Oklahoma City
US00765,Oklahoma State University Stillwater
US00567,Old Dominion University Norfolk
US00884,Olin Business School St Louis
US00797,Oral Roberts University Tulsa
US00624,Oregon Health Science University Portland
US00215,Oregon State University Corvallis
US00841,Otterbein University Westerville
US00548,Pace University New York City
US00774,Pacific Lutheran University Tacoma
US00452,Pacific States University Los Angeles
US00331,Pacific University Forest Grove
US00840,Palm Beach Atlantic University West Palm Beach
US00597,Park University Parkville
US00848,Pennsylvania College Of Technology Williamsport
US00805,Pennsylvania State University State College
US00470,Pepperdine University Malibu
US00503,Pfeiffer University Misenheimer
US00611,Pittsburg State University Pittsburg
US00185,Pitzer College Claremont
US00619,Plymouth State University Plymouth
US00704,Point Loma Nazarene University San Diego
US00617,Point Park University Pittsburgh
US00186,Pomona College Claremont
US00623,Portland State University Portland
US00633,Prairie View Am University Prairie View
US00121,Pratt Institute Brooklyn
US00635,Princeton University Princeton
US00637,Providence College Providence
US00372,Purdue University Global Indianapolis
US00335,Purdue University Northwest Hammond
US00838,Purdue University West Lafayette
US00553,Queens College Queens
US00162,Queens University Of Charlotte Charlotte
US00332,Quinnipiac University Hamden
US00645,Radford University Radford
US00469,Ramapo College Of New Jersey Mahwah
US00625,Reed College Portland
US00814,Regent University Virginia Beach
US00237,Regis University Denver
US00793,Rensselaer Polytechnic Institute Troy
US00638,Rhode Island School Of Design Providence
US00485,Rhodes College Memphis
US00359,Rice University Houston
US00428,Rider University Lawrenceville
US00659,Ripon College Ripon
US00923,Rivier University Nashua
US00888,Robert H Smith School Of Business College Park
US00179,Robert Morris University Illinois Chicago
US00666,Rochester Institute Of Technology Rochester
US00397,Rockhurst University Kansas City
US00116,Roger Williams University Bristol
US00858,Rollins College Winter Park
US00172,Roosevelt University Chicago
US00785,Rose Hulman Institute Of Technology Terre Haute
US00879,Ross School Of Business Ann Arbor
US00311,Rowan University Glassboro
US00173,Rush University Chicago
US00895,Rutgers Business School Piscataway
US00533,Rutgers University New Jersey New Brunswick
US00270,Sacred Heart University Fairfield
US00803,Saginaw Valley State University University Center
US00222,Saint Ambrose University Davenport
US00752,Saint Cloud State University St Cloud
US00055,Saint Edwards University Austin
US00445,Saint Francis University Loretto
US00680,Saint Leo University Saint Leo
US00681,Saint Louis University Saint Louis
US00415,Saint Martins University Lacey
US00854,Saint Marys University Of Minnesota Winona
US00389,Saint Peters University Jersey City
US00425,Saint Vincent College Latrobe
US00168,Saint Xavier University Chicago
US00690,Salem State University Salem
US00691,Salem University Salem
US00692,Salisbury University Salisbury
US00564,Salve Regina University Newport
US00369,Sam Houston State University Huntsville
US00086,Samford University Birmingham
US00702,San Diego State University San Diego
US00709,San Francisco State University San Francisco
US00710,San Jose State University San Jose
US00715,Santa Clara University Santa Clara
US00119,Sarah Lawrence College Bronxville
US00919,Saunders College Of Business Rochester
US00721,Savannah State University Savannah
US00910,Sawyer Business School Boston
US00885,Scheller College Of Business Atlanta
US00894,School Of Business University Of Connecticut Storrs
US00921,School Of Business Wake Forest University Winston Salem
US00728,Seattle Pacific University Seattle
US00727,Seattle University Seattle
US00740,Seton Hall University South Orange
US00326,Seton Hill University Greensburg
US00628,Shawnee State University Portsmouth
US00731,Shepherd University Shepherdstown
US00733,Shippensburg University Of Pennsylvania Shippensburg
US00455,Siena College Loudonville
US00100,Simmons University Boston
US00718,Skidmore College Saratoga Springs
US00136,Slippery Rock University Slippery Rock
US00887,Smeal College Of Business University Park
US00575,Smith College Northampton
US00596,Sofia University Palo Alto
US00671,Sonoma State University Rohnert Park
US00591,South Carolina State University Orangeburg
US00648,South Dakota School Of Mines Technology Rapid City
US00120,South Dakota State University Brookings
US00145,Southeast Missouri State University Cape Girardeau
US00334,Southeastern Louisiana University Hammond
US00419,Southeastern University Florida Lakeland
US00468,Southern Arkansas University Magnolia
US00453,Southern California Institute Of Architecture Los Angeles
US00146,Southern Illinois University Carbondale
US00001,Southern Illinois University Edwardsville
US00218,Southern Methodist University Dallas
US00078,Southern Nazarene University Bethany
US00471,Southern New Hampshire University Manchester
US00039,Southern Oregon University Ashland
US00541,Southern University At New Orleans New Orleans
US00150,Southern Utah University Cedar City
US00128,Southern Virginia University Buena Vista
US00476,Southwest Minnesota State University Marshall
US00833,Southwestern Oklahoma State University Weatherford
US00309,Southwestern University Georgetown
US00050,Spelman College Atlanta
US00749,Springfield College Springfield
US00426,St Andrews University Laurinburg
US00559,St Francis College Brooklyn
US00551,St Johns University Jamaica
US00144,St Lawrence University Canton
US00699,St Marys University San Antonio
US00759,Stanford University Stanford
US00308,State University Of New York At Geneseo Geneseo
US00542,State University Of New York At New Paltz New Paltz
US00594,State University Of New York At Oswego Oswego
US00297,State University Of New York Fredonia Fredonia
US00618,State University Of New York Plattsburgh Plattsburgh
US00009,State University Of New York Polytechnic Institute Albany
US00630,State University Of New York Potsdam Potsdam
US00526,Stephen F Austin State University Nacogdoches
US00878,Stern School Of Business New York City
US00230,Stetson University Deland
US00353,Stevens Institute Of Technology Hoboken
US00610,Stevenson University Owings Mills
US00304,Stockton University Galloway
US00767,Stony Brook University Stony Brook
US00098,Suffolk University Boston
US00458,Sullivan University Louisville
US00772,Suny Downstate Medical Center Brooklyn
US00730,Susquehanna University Selinsgrove
US00769,Swarthmore College Swarthmore
US00770,Sweet Briar College Sweet Briar
US00771,Syracuse University Syracuse
US00763,Tarleton State University Stephenville
US00806,Taylor University Upland
US00558,Teachers College At Columbia University New York City
US00604,Temple University Philadelphia
US00528,Tennessee State University Nashville
US00212,Tennessee Technological University Cookeville
US00044,Tennessee Wesleyan University Athens
US00880,Tepper School Of Business Pittsburgh
US00197,Texas Aandm University College Station
US00404,Texas Aandm University Kingsville
US00421,Texas Am International University Laredo
US00209,Texas Am University Commerce
US00214,Texas Am University Corpus Christi
US00305,Texas Am University Galveston
US00289,Texas Christian University Fort Worth
US00363,Texas Southern University Houston
US00712,Texas State University San Marcos
US00460,Texas Tech University Lubbock
US00290,Texas Wesleyan University Fort Worth
US00233,Texas Womans University Denton
US00557,The City College Of New York New York City
US00267,The College Of New Jersey Ewing Township
US00859,The College Of Wooster Wooster
US00156,The Medical University Of South Carolina Charleston
US00547,The New School New York City
US00169,The University Of Chicago Chicago
US00926,Thomas College Waterville
US00605,Thomas Jefferson University Philadelphia
US00789,Tiffin University Tiffin
US00917,Tobin College Of Business Jamaica
US00792,Towson University Towson
US00030,Trine University Angola
US00228,Trinity International University Deerfield
US00697,Trinity University San Antonio
US00794,Troy University Troy
US00899,Trulaske College Of Business University Of Missouri Columbia
US00406,Truman State University Kirksville
US00482,Tufts University Medford
US00539,Tulane University New Orleans
US00800,Tuskegee University Tuskegee
US00459,Umass Lowell Lowell
US00722,Union College Schenectady
US00002,University At Albany Albany
US00132,University At Buffalo Buffalo
US00784,University Of Advancing Technology Tempe
US00007,University Of Akron Akron
US00085,University Of Alabama Birmingham
US00368,University Of Alabama Huntsville
US00799,University Of Alabama Tuscaloosa
US00025,University Of Alaska Anchorage
US00268,University Of Alaska Fairbanks
US00795,University Of Arizona Tucson
US00275,University Of Arkansas Fayetteville
US00437,University Of Arkansas Little Rock
US00113,University Of Bridgeport Bridgeport
US00076,University Of California Berkeley
US00223,University Of California Davis
US00377,University Of California Irvine
US00446,University Of California Los Angeles
US00489,University Of California Merced
US00663,University Of California Riverside
US00701,University Of California San Diego
US00708,University Of California San Francisco
US00714,University Of California Santa Barbara
US00716,University Of California Santa Cruz
US00211,University Of Central Arkansas Conway
US00592,University Of Central Florida Orlando
US00819,University Of Central Missouri Warrensburg
US00253,University Of Central Oklahoma Edmond
US00159,University Of Charleston Charleston
US00181,University Of Cincinnati Cincinnati
US00108,University Of Colorado Boulder
US00200,University Of Colorado Colorado Springs
US00234,University Of Colorado Denver
US00768,University Of Connecticut Storrs
US00379,University Of Dallas Irving
US00225,University Of Dayton Dayton
US00562,University Of Delaware Newark
US00235,University Of Denver Denver
US00240,University Of Detroit Mercy Detroit
US00244,University Of Dubuque Dubuque
US00265,University Of Evansville Evansville
US00276,University Of Findlay Findlay
US00302,University Of Florida Gainesville
US00042,University Of Georgia Athens
US00341,University Of Hartford West Hartford
US00355,University Of Hawaii At Manoa Honolulu
US00362,University Of Houston Clear Lake Houston
US00358,University Of Houston Downtown Houston
US00360,University Of Houston Houston
US00811,University Of Houston Victoria
US00519,University Of Idaho Moscow
US00171,University Of Illinois Chicago
US00747,University Of Illinois Springfield
US00807,University Of Illinois Urbana
US00698,University Of Incarnate Word San Antonio
US00374,University Of Indianapolis Indianapolis
US00376,University Of Iowa Iowa City
US00388,University Of Jamestown Jamestown
US00427,University Of Kansas Lawrence
US00396,University Of Kansas Medical Center Kansas City
US00433,University Of Kentucky Lexington
US00414,University Of La Verne La Verne
US00416,University Of Louisiana Lafayette
US00508,University Of Louisiana Monroe
US00456,University Of Louisville Louisville
US00593,University Of Maine Orono
US00072,University Of Mary Hardin Baylor Belton
US00296,University Of Mary Washington Fredericksburg
US00061,University Of Maryland Baltimore
US00064,University Of Maryland Baltimore County Baltimore
US00196,University Of Maryland College Park
US00634,University Of Maryland Eastern Shore Princess Anne
US00021,University Of Massachusetts Amherst
US00099,University Of Massachusetts Boston
US00573,University Of Massachusetts North Dartmouth
US00484,University Of Memphis Memphis
US00213,University Of Miami Coral Gables
US00031,University Of Michigan Ann Arbor
US00227,University Of Michigan Dearborn
US00279,University Of Michigan Flint
US00869,University Of Minnesota Duluth Duluth
US00517,University Of Minnesota Morris
US00501,University Of Minnesota Twin Cities Minneapolis
US00595,University Of Mississippi University
US00202,University Of Missouri Columbia
US00395,University Of Missouri Kansas City
US00756,University Of Missouri St Louis
US00505,University Of Montana Missoula
US00018,University Of Mount Union Alliance
US00399,University Of Nebraska Kearney
US00435,University Of Nebraska Lincoln
US00587,University Of Nebraska Medical Center Omaha
US00588,University Of Nebraska Omaha Omaha
US00424,University Of Nevada Las Vegas
US00652,University Of Nevada Reno
US00210,University Of New Hampshire Durham
US00837,University Of New Haven West Haven
US00012,University Of New Mexico Albuquerque
US00540,University Of New Orleans New Orleans
US00281,University Of North Alabama Florence
US00038,University Of North Carolina Asheville
US00154,University Of North Carolina Chapel Hill
US00160,University Of North Carolina Charlotte
US00325,University Of North Carolina Greensboro
US00599,University Of North Carolina Pembroke
US00850,University Of North Carolina Wilmington
US00315,University Of North Dakota Grand Forks
US00385,University Of North Florida Jacksonville
US00217,University Of North Georgia Dahlonega
US00232,University Of North Texas Denton
US00322,University Of Northern Colorado Greeley
US00151,University Of Northern Iowa Cedar Falls
US00577,University Of Notre Dame Notre Dame
US00583,University Of Oklahoma Health Sciences Center Oklahoma City
US00570,University Of Oklahoma Norman
US00263,University Of Oregon Eugene
US00766,University Of Pacific Stockton
US00603,University Of Pennsylvania Philadelphia
US00783,University Of Phoenix Tempe
US00613,University Of Pittsburgh Pittsburgh
US00870,University Of Puerto Rico Mayaguez
US00650,University Of Redlands Redlands
US00403,University Of Rhode Island Kingston
US00657,University Of Richmond Richmond
US00667,University Of Rochester Rochester
US00287,University Of Saint Francis Fort Wayne
US00703,University Of San Diego San Diego
US00707,University Of San Francisco San Francisco
US00606,University Of Sciences In Philadelphia Philadelphia
US00723,University Of Scranton Scranton
US00506,University Of South Alabama Mobile
US00006,University Of South Carolina Aiken
US00201,University Of South Carolina Columbia
US00742,University Of South Carolina Upstate Spartanburg
US00810,University Of South Dakota Vermillion
US00717,University Of South Florida Sarasota Manatee Sarasota
US00757,University Of South Florida St Petersburg
US00779,University Of South Florida Tampa
